,mean_red,mean_green,mean_pc,eccentricity,area,ymin,xmin,ymax,xmax,y,x,interior,class
116,0.23378181781172122,0.025564238186919302,0.32858669124402917,0.4611612334725445,34.0,77.0,514.0,84.0,521.0,80.17647058823529,516.8235294117648,True,1
117,0.20660005376547438,0.02632695166093933,0.3386678218948883,0.7071067811865476,18.0,77.0,842.0,83.0,848.0,79.5,844.5,True,1
118,0.16073272187204746,0.10432220465420475,0.4017697440299488,0.8868433591825008,50.0,78.0,1200.0,90.0,1206.0,83.3,1202.82,True,1
119,0.03347457302096483,0.025917219516809704,0.41256123501880637,0.40895508562425403,127.0,78.0,1213.0,92.0,1226.0,84.77165354330708,1219.1259842519685,True,1
120,0.054497836159393506,0.024811201464080782,0.41481755907373224,0.6170868051589407,149.0,79.0,231.0,92.0,247.0,85.2751677852349,238.44295302013424,True,1
121,0.0394187337840278,0.024566920444993003,0.38812129584120963,0.42277639377810905,71.0,79.0,252.0,89.0,262.0,83.64788732394366,256.3943661971831,True,1
122,0.16501790412756476,0.03263408276416367,0.34263385164815996,0.3973597071195132,18.0,79.0,345.0,84.0,351.0,81.0,347.5,True,1
123,0.15858378885794602,0.043968538801095615,0.3564374155958621,0.7438393719334412,39.0,79.0,414.0,86.0,423.0,82.33333333333333,418.0769230769231,True,1
124,0.036777703269830465,0.025949568296808098,0.40666331786127907,0.6106668281915665,77.0,79.0,1179.0,90.0,1189.0,83.53246753246754,1183.3636363636363,True,1
125,0.13654708783916952,0.2636095708482049,0.35197593102021685,0.4523350701362189,42.0,80.0,153.0,88.0,161.0,84.04761904761905,156.3095238095238,True,2
126,0.0398354861589083,0.027009100881633785,0.3921345340487284,0.3186984664209984,87.0,81.0,393.0,92.0,404.0,86.0,397.5632183908046,True,1
127,0.05645036612979878,0.025615708407491982,0.41002354540488056,0.5195599109291956,106.0,83.0,486.0,95.0,497.0,88.5377358490566,490.70754716981133,True,1
128,0.05731082649927451,0.026357102869743042,0.41391292594802326,0.4336021383201053,126.0,83.0,1111.0,96.0,1124.0,89.19047619047619,1117.515873015873,True,1
129,0.041771783127050356,0.026467099847140376,0.37625491153975354,0.7268767465291084,33.0,84.0,1048.0,91.0,1056.0,86.81818181818181,1051.3636363636363,True,1
130,0.042571508854952034,0.025436137734403102,0.3947776391777016,0.521640530957301,21.0,85.0,445.0,91.0,451.0,87.28571428571429,447.7142857142857,True,1
131,0.09895987296324177,0.05192661839522397,0.35609872114399915,0.3973597071195132,18.0,85.0,1094.0,90.0,1100.0,87.0,1096.5,True,1
132,0.038494805663893815,0.026655135988072082,0.40289508331312923,0.6304951175619571,59.0,86.0,1188.0,96.0,1197.0,90.66101694915254,1192.5084745762713,True,1
133,0.03671842346056931,0.024697489867824093,0.4022782539627266,0.42548969742619763,101.0,87.0,312.0,98.0,324.0,92.08910891089108,317.4950495049505,True,1
134,0.04068697128338364,0.025202997209933006,0.42565104448520086,0.27163259400261475,202.0,87.0,368.0,103.0,384.0,94.02475247524752,375.33663366336634,True,1
135,0.06408749325349102,0.02753112904144503,0.3981624441081632,0.30443180217012994,85.0,87.0,834.0,98.0,845.0,91.92941176470588,839.3764705882353,True,1
136,0.10545563997701815,0.353359303647231,0.359860778648727,0.6911067513894313,39.0,87.0,914.0,96.0,920.0,90.76923076923077,916.3846153846154,True,2
137,0.09848252312990904,0.03491438711144399,0.3650433121996249,0.4541475531146237,30.0,87.0,958.0,94.0,964.0,90.0,960.5,True,1
138,0.038190589633292436,0.024625340517468026,0.43494646263491105,0.48333784972684973,90.0,89.0,298.0,101.0,310.0,94.53333333333333,303.24444444444447,True,1
139,0.04514955713851019,0.024880590455012227,0.40294443766519644,0.40185138796004183,94.0,89.0,333.0,101.0,345.0,94.01063829787235,338.25531914893617,True,1
140,0.10743017463243618,0.3488258709775863,0.33790338562468214,0.5035671321513514,33.0,90.0,407.0,97.0,414.0,92.72727272727273,409.8181818181818,True,2
141,0.03649087044512581,0.02556138703206541,0.40053716993184135,0.630487908750286,81.0,90.0,512.0,101.0,523.0,94.82716049382717,517.1234567901234,True,1
142,0.2389063243264672,0.03308767396813235,0.3112605724000087,0.5281094452574665,27.0,90.0,683.0,96.0,690.0,92.33333333333333,685.7777777777778,True,1
143,0.0623595287451796,0.2840291864488686,0.3986981126573544,0.6324555320336758,31.0,90.0,932.0,97.0,939.0,93.0,935.0,True,2
144,0.060333546058405796,0.09697276606897505,0.39978104791808455,0.3973597071195132,18.0,91.0,944.0,96.0,950.0,93.0,946.5,True,1
145,0.054222765084963216,0.026465630629575833,0.38565412406681987,0.8355861648768211,45.0,92.0,786.0,100.0,796.0,95.06666666666666,790.2666666666667,True,1
146,0.03541011465742437,0.027928271734638334,0.4124815268077421,0.7962843839890827,37.0,92.0,1054.0,101.0,1061.0,96.27027027027027,1057.4324324324325,True,1
147,0.04826219746793495,0.026556229835691517,0.39090920857805145,0.5883484054145521,23.0,93.0,1022.0,100.0,1027.0,96.0,1024.0,True,1
148,0.04425515281597592,0.02398954970292789,0.3978588129420285,0.45817428753582035,68.0,94.0,162.0,104.0,172.0,98.32352941176471,166.7941176470588,True,1
149,0.05725048465587342,0.024393169978331488,0.351766189942315,0.4541475531146237,30.0,94.0,221.0,100.0,228.0,96.5,224.0,True,1
150,0.08817071775960898,0.22325814775262912,0.33912538867470127,0.6724972031554177,24.0,95.0,128.0,102.0,134.0,98.0,130.5,True,2
151,0.11738066365224357,0.07918740562687841,0.4067756333738005,0.717531522059146,35.0,95.0,457.0,103.0,465.0,98.71428571428571,460.2857142857143,True,1
152,0.17774409894272963,0.41744115846519525,0.363109304686538,0.8464775098973039,32.0,95.0,1000.0,103.0,1008.0,98.75,1003.625,True,2
153,0.03627422968720361,0.022286976372452874,0.40063495300579,0.0,13.0,96.0,12.0,101.0,17.0,98.0,14.0,True,1
154,0.031609145763326595,0.14084527021670085,0.37399580694109835,0.4541475531146237,30.0,96.0,1090.0,103.0,1096.0,99.0,1092.5,True,1
155,0.04273846883445117,0.02532358408298295,0.3945838307120079,0.5169285058583736,78.0,97.0,502.0,108.0,513.0,102.06410256410257,506.56410256410254,True,1
156,0.058284462827947275,0.039158478389416766,0.376101925209293,0.708664665903118,23.0,97.0,592.0,104.0,598.0,100.0,594.6086956521739,True,1
